"Interval start","All","OLSR","ICMP"
0,4,4,0
1,0,0,0
2,14,4,2
3,5,1,2
4,7,3,2
5,5,1,2
6,7,3,2
7,5,1,2
8,7,3,2
9,4,0,2
10,8,4,2
11,4,0,2
12,8,4,2
13,4,0,2
14,8,4,2
15,4,0,2
16,8,4,2
17,4,0,2
18,8,4,2
19,4,0,2
20,8,4,2
21,5,1,2
22,7,3,2
23,4,0,2
24,8,4,2
25,4,0,2
26,8,4,2
27,4,0,2
28,8,4,2
29,4,0,2
30,8,4,2
31,6,2,2
32,6,2,2
33,4,0,2
34,8,4,2
35,4,0,2
36,8,4,2
37,4,0,2
38,8,4,2
39,4,0,2
40,8,4,2
41,5,1,2
42,7,3,2
43,4,0,2
44,8,4,2
45,4,0,2
46,8,4,2
47,5,1,2
48,7,3,2
49,4,0,2
50,8,4,2
51,4,0,2
52,8,4,2
53,4,0,2
54,8,4,2
55,4,0,2
56,8,4,2
57,4,0,2
58,8,4,2
59,4,0,2
60,8,4,2
61,5,1,2
62,7,3,2
63,6,0,6
64,10,3,7
65,7,0,7
66,10,3,7
67,6,0,6
68,17,3,4
69,9,0,4
70,9,3,3
71,6,0,3
72,9,3,3
73,6,0,3
74,9,3,3
75,7,1,3
76,9,3,3
77,6,0,3
78,9,3,3
79,6,0,3
80,9,3,3
81,6,0,3
82,9,3,3
83,6,0,3
84,8,3,5
85,8,1,7
86,9,2,7
87,9,0,9
88,8,2,6
89,7,0,7
90,3,2,1
91,0,0,0
92,2,2,0
93,0,0,0
94,2,2,0
95,15,2,2
96,9,1,4
97,6,0,3
98,8,2,3
99,7,1,3
100,7,1,3
101,6,0,3
102,8,2,3
103,6,0,3
104,8,2,3
105,8,3,3
106,7,1,3
107,3,0,2
108,5,2,2
109,3,0,2
110,6,3,2
111,3,0,2
112,5,2,2
113,3,0,2
114,4,2,1
115,1,1,0
116,2,2,0
117,0,0,0
118,2,2,0
119,0,0,0
120,2,2,0
121,0,0,0
122,2,2,0
123,0,0,0
124,2,2,0
125,1,1,0
126,2,2,0
127,0,0,0
128,2,2,0
129,0,0,0
130,2,2,0
131,0,0,0
132,2,2,0
133,0,0,0
134,2,2,0
135,1,1,0
136,2,2,0
137,0,0,0
138,2,2,0
139,0,0,0
140,2,2,0
141,0,0,0
142,2,2,0
143,0,0,0
144,2,2,0
145,1,1,0
146,2,2,0
147,0,0,0
148,2,2,0
149,0,0,0
150,2,2,0
151,0,0,0
152,2,2,0
153,0,0,0
154,2,2,0
155,1,1,0
156,2,2,0
157,0,0,0
158,2,2,0
159,0,0,0
160,2,2,0
161,0,0,0
162,2,2,0
163,0,0,0
164,2,2,0
165,1,1,0
166,2,2,0
167,0,0,0
168,2,2,0
