Interval;Transfer;Bandwidth;Retr;Cwnd
0.00-1.00   sec;870 KBytes;7.13 Mbits/sec;1;51.6 KBytes
1.00-2.00   sec;798 KBytes;6.53 Mbits/sec;0;51.6 KBytes
2.00-3.00   sec;798 KBytes;6.53 Mbits/sec;0;51.6 KBytes
3.00-4.00   sec;870 KBytes;7.13 Mbits/sec;0;51.6 KBytes
4.00-5.00   sec;36.3 KBytes;297 Kbits/sec;2;1.39 KBytes
5.00-6.00   sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
6.00-7.00   sec;96.2 KBytes;788 Kbits/sec;10;34.9 KBytes
7.00-8.00   sec;863 KBytes;7.07 Mbits/sec;0;48.8 KBytes
8.00-9.00   sec;834 KBytes;6.83 Mbits/sec;0;50.2 KBytes
9.00-10.00  sec;870 KBytes;7.13 Mbits/sec;0;51.6 KBytes
10.00-11.00  sec;906 KBytes;7.42 Mbits/sec;0;51.6 KBytes
11.00-12.00  sec;399 KBytes;3.27 Mbits/sec;1;1.39 KBytes
12.00-13.00  sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
13.00-14.00  sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
14.00-15.00  sec;449 KBytes;3.68 Mbits/sec;14;43.2 KBytes
15.00-16.00  sec;870 KBytes;7.13 Mbits/sec;0;50.2 KBytes
16.00-17.00  sec;870 KBytes;7.13 Mbits/sec;0;51.6 KBytes
17.00-18.00  sec;653 KBytes;5.35 Mbits/sec;0;51.6 KBytes
18.00-19.00  sec;651 KBytes;5.34 Mbits/sec;0;51.6 KBytes
19.00-20.00  sec;0.00 Bytes;0.00 bits/sec;2;1.39 KBytes
20.00-21.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
21.00-22.00  sec;206 KBytes;1.69 Mbits/sec;11;32.1 KBytes
22.00-23.00  sec;689 KBytes;5.64 Mbits/sec;0;46.0 KBytes
23.00-24.00  sec;798 KBytes;6.54 Mbits/sec;0;50.2 KBytes
24.00-25.00  sec;761 KBytes;6.24 Mbits/sec;0;51.6 KBytes
25.00-26.00  sec;834 KBytes;6.83 Mbits/sec;0;51.6 KBytes
26.00-27.00  sec;438 KBytes;3.59 Mbits/sec;1;1.39 KBytes
27.00-28.00  sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
28.00-29.00  sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
29.00-30.00  sec;506 KBytes;4.15 Mbits/sec;13;44.6 KBytes
30.00-31.00  sec;651 KBytes;5.34 Mbits/sec;0;50.2 KBytes
31.00-32.00  sec;621 KBytes;5.08 Mbits/sec;0;51.6 KBytes
32.00-33.00  sec;834 KBytes;6.83 Mbits/sec;0;51.6 KBytes
33.00-34.00  sec;692 KBytes;5.67 Mbits/sec;0;51.6 KBytes
34.00-35.00  sec;0.00 Bytes;0.00 bits/sec;2;1.39 KBytes
35.00-36.00  sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
36.00-37.00  sec;180 KBytes;1.47 Mbits/sec;7;32.1 KBytes
37.00-38.00  sec;725 KBytes;5.94 Mbits/sec;0;46.0 KBytes
38.00-39.00  sec;728 KBytes;5.96 Mbits/sec;0;50.2 KBytes
39.00-40.00  sec;689 KBytes;5.64 Mbits/sec;0;51.6 KBytes
40.00-41.00  sec;725 KBytes;5.94 Mbits/sec;0;51.6 KBytes
41.00-42.00  sec;653 KBytes;5.35 Mbits/sec;0;51.6 KBytes
42.00-43.00  sec;639 KBytes;5.23 Mbits/sec;0;57.2 KBytes
43.00-44.00  sec;509 KBytes;4.17 Mbits/sec;0;57.2 KBytes
44.00-45.00  sec;587 KBytes;4.81 Mbits/sec;0;57.2 KBytes
45.00-46.00  sec;508 KBytes;4.16 Mbits/sec;0;57.2 KBytes
46.00-47.00  sec;234 KBytes;1.92 Mbits/sec;0;57.2 KBytes
47.00-48.00  sec;176 KBytes;1.44 Mbits/sec;13;44.6 KBytes
48.00-49.00  sec;430 KBytes;3.52 Mbits/sec;0;50.2 KBytes
49.00-50.00  sec;351 KBytes;2.88 Mbits/sec;0;54.4 KBytes
50.00-51.00  sec;351 KBytes;2.88 Mbits/sec;0;54.4 KBytes
51.00-52.00  sec;431 KBytes;3.53 Mbits/sec;0;54.4 KBytes
52.00-53.00  sec;78.1 KBytes;640 Kbits/sec;1;1.39 KBytes
53.00-54.00  sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
54.00-55.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
55.00-56.00  sec;282 KBytes;2.31 Mbits/sec;9;47.4 KBytes
56.00-57.00  sec;393 KBytes;3.22 Mbits/sec;0;51.6 KBytes
57.00-58.00  sec;395 KBytes;3.23 Mbits/sec;0;51.6 KBytes
58.00-59.00  sec;312 KBytes;2.56 Mbits/sec;0;51.6 KBytes
59.00-60.00  sec;159 KBytes;1.30 Mbits/sec;0;51.6 KBytes
60.00-61.00  sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
61.00-62.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
62.00-63.00  sec;130 KBytes;1.06 Mbits/sec;9;32.1 KBytes
63.00-64.00  sec;312 KBytes;2.56 Mbits/sec;0;44.6 KBytes
64.00-65.00  sec;315 KBytes;2.58 Mbits/sec;0;50.2 KBytes
65.00-66.00  sec;273 KBytes;2.24 Mbits/sec;0;50.2 KBytes
66.00-67.00  sec;293 KBytes;2.40 Mbits/sec;1;40.4 KBytes
67.00-68.00  sec;39.0 KBytes;320 Kbits/sec;1;1.39 KBytes
68.00-69.00  sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
69.00-70.00  sec;0.00 Bytes;0.00 bits/sec;5;32.1 KBytes
