Interval,Transfer,Bandwidth,Retr,Cwnd
0.00-1.00,7127040.0,7130000.0,1,422707.2
1.00-2.00,6537216.0,6530000.0,0,422707.2
2.00-3.00,6537216.0,6530000.0,0,422707.2
3.00-4.00,7127040.0,7130000.0,0,422707.2
4.00-5.00,297369.6,297000.0,2,11386.88
5.00-6.00,0.00,0.00,0,11386.88
6.00-7.00,788070.4,788000.0,10,285900.8
7.00-8.00,7069696.0,7070000.0,0,399769.6
8.00-9.00,6832128.0,6830000.0,0,411238.4
9.00-10.00,7127040.0,7130000.0,0,422707.2
10.00-11.00,7421952.0,7420000.0,0,422707.2
11.00-12.00,3268608.0,3270000.0,1,11386.88
12.00-13.00,0.00,0.00,1,11386.88
13.00-14.00,0.00,0.00,1,11386.88
14.00-15.00,3678208.0,3680000.0,14,353894.4
15.00-16.00,7127040.0,7130000.0,0,411238.4
16.00-17.00,7127040.0,7130000.0,0,422707.2
17.00-18.00,5349376.0,5350000.0,0,422707.2
18.00-19.00,5332992.0,5340000.0,0,422707.2
19.00-20.00,0.00,0.00,2,11386.88
20.00-21.00,0.00,0.00,0,11386.88
21.00-22.00,1687552.0,1690000.0,11,262963.2
22.00-23.00,5644288.0,5640000.0,0,376832.0
23.00-24.00,6537216.0,6540000.0,0,411238.4
24.00-25.00,6234112.0,6240000.0,0,422707.2
25.00-26.00,6832128.0,6830000.0,0,422707.2
26.00-27.00,3588096.0,3590000.0,1,11386.88
27.00-28.00,0.00,0.00,1,11386.88
28.00-29.00,0.00,0.00,1,11386.88
29.00-30.00,4145152.0,4150000.0000000005,13,365363.2
30.00-31.00,5332992.0,5340000.0,0,411238.4
31.00-32.00,5087232.0,5080000.0,0,422707.2
32.00-33.00,6832128.0,6830000.0,0,422707.2
33.00-34.00,5668864.0,5670000.0,0,422707.2
34.00-35.00,0.00,0.00,2,11386.88
35.00-36.00,0.00,0.00,1,11386.88
36.00-37.00,1474560.0,1470000.0,7,262963.2
37.00-38.00,5939200.0,5940000.0,0,376832.0
38.00-39.00,5963776.0,5960000.0,0,411238.4
39.00-40.00,5644288.0,5640000.0,0,422707.2
40.00-41.00,5939200.0,5940000.0,0,422707.2
41.00-42.00,5349376.0,5350000.0,0,422707.2
42.00-43.00,5234688.0,5230000.0,0,468582.4
43.00-44.00,4169728.0,4170000.0,0,468582.4
44.00-45.00,4808704.0,4810000.0,0,468582.4
45.00-46.00,4161536.0,4160000.0,0,468582.4
46.00-47.00,1916928.0,1920000.0,0,468582.4
47.00-48.00,1441792.0,1440000.0,13,365363.2
48.00-49.00,3522560.0,3520000.0,0,411238.4
49.00-50.00,2875392.0,2880000.0,0,445644.8
50.00-51.00,2875392.0,2880000.0,0,445644.8
51.00-52.00,3530752.0,3530000.0,0,445644.8
52.00-53.00,639795.2,640000.0,1,11386.88
53.00-54.00,0.00,0.00,1,11386.88
54.00-55.00,0.00,0.00,0,11386.88
55.00-56.00,2310144.0,2310000.0,9,388300.8
56.00-57.00,3219456.0,3220000.0,0,422707.2
57.00-58.00,3235840.0,3230000.0,0,422707.2
58.00-59.00,2555904.0,2560000.0,0,422707.2
59.00-60.00,1302528.0,1300000.0,0,422707.2
60.00-61.00,0.00,0.00,1,11386.88
61.00-62.00,0.00,0.00,0,11386.88
62.00-63.00,1064960.0,1060000.0,9,262963.2
63.00-64.00,2555904.0,2560000.0,0,365363.2
64.00-65.00,2580480.0,2580000.0,0,411238.4
65.00-66.00,2236416.0,2240000.0,0,411238.4
66.00-67.00,2400256.0,2400000.0,1,330956.8
67.00-68.00,319488.0,320000.0,1,11386.88
68.00-69.00,0.00,0.00,1,11386.88
69.00-70.00,0.00,0.00,5,262963.2
70.00-71.00,319488.0,320000.0,20,194150.4
71.00-72.00,480051.2,480000.0,0,194150.4
72.00-73.00,983040.0,982000.0,0,205619.2
73.00-74.00,319488.0,320000.0,0,205619.2
74.00-75.00,330956.8,331000.0,1,194150.4
75.00-76.00,0.00,0.00,1,11386.88
76.00-77.00,0.00,0.00,0,11386.88
77.00-78.00,0.00,0.00,0,11386.88
78.00-79.00,0.00,0.00,0,11386.88
