Interval,Transfer,Bandwidth,Retr,Cwnd
0.00-1.00,13673431.04,13600000.0,0,445644.8
1.00-2.00,4751360.0,4750000.0,1,11386.88
2.00-3.00,0.00,0.00,1,11386.88
3.00-4.00,0.00,0.00,1,11386.88
4.00-5.00,8101888.0,8100000.0,12,411238.4
5.00-6.00,6832128.0,6830000.0,0,422707.2
6.00-7.00,6250496.0,6250000.0,0,422707.2
7.00-8.00,6832128.0,6830000.0,0,422707.2
8.00-9.00,5349376.0,5350000.0,0,434176.0
9.00-10.00,0.00,0.00,2,11386.88
10.00-11.00,0.00,0.00,0,11386.88
11.00-12.00,2572288.0,2570000.0,12,342425.6
12.00-13.00,7421952.0,7430000.0,0,411238.4
13.00-14.00,6832128.0,6830000.0,0,422707.2
14.00-15.00,6537216.0,6530000.0,0,422707.2
15.00-16.00,7446528.0,7450000.0,0,422707.2
16.00-17.00,2080768.0,2080000.0,1,11386.88
17.00-18.00,0.00,0.00,1,11386.88
18.00-19.00,0.00,0.00,1,11386.88
19.00-20.00,5931008.0,5930000.0,7,342425.6
20.00-21.00,7127040.0,7130000.0,0,411238.4
21.00-22.00,7127040.0,7130000.0,0,422707.2
22.00-23.00,6840320.0,6840000.0,0,422707.2
23.00-24.00,5046272.0,5050000.0,0,422707.2
24.00-25.00,0.00,0.00,2,11386.88
25.00-26.00,0.00,0.00,1,11386.88
26.00-27.00,2285568.0,2280000.0,11,330956.8
27.00-28.00,6537216.0,6530000.0,0,411238.4
28.00-29.00,7725056.0,7720000.0,0,411238.4
29.00-30.00,7725056.0,7720000.0,0,422707.2
30.00-31.00,7725056.0,7720000.0,0,422707.2
31.00-32.00,1482752.0,1490000.0,1,11386.88
32.00-33.00,0.00,0.00,1,11386.88
33.00-34.00,0.00,0.00,1,11386.88
34.00-35.00,6430720.0,6430000.0,7,376832.0
35.00-36.00,7725056.0,7720000.0,0,422707.2
36.00-37.00,8028160.0,8029999.999999999,0,422707.2
37.00-38.00,7127040.0,7130000.0,0,422707.2
38.00-39.00,5644288.0,5640000.0,0,422707.2
39.00-40.00,0.00,0.00,2,11386.88
40.00-41.00,0.00,0.00,1,11386.88
41.00-42.00,3571712.0,3580000.0,14,319488.0
42.00-43.00,8640266.24,8610000.0,0,411238.4
43.00-44.00,8314880.0,8320000.0,0,422707.2
44.00-45.00,8640266.24,8610000.0,0,434176.0
45.00-46.00,7725056.0,7720000.0,0,434176.0
46.00-47.00,8314880.0,8320000.0,0,434176.0
47.00-48.00,8640266.24,8640000.0,0,434176.0
48.00-49.00,9227468.8,9210000.0,0,434176.0
49.00-50.00,7421952.0,7430000.0,0,434176.0
50.00-51.00,9227468.8,9210000.0,0,434176.0
51.00-52.00,1785856.0,1780000.0,1,11386.88
52.00-53.00,3973120.0,3980000.0,14,342425.6
53.00-54.00,8019968.0,8020000.0,0,411238.4
54.00-55.00,8891924.48,8910000.0,0,422707.2
55.00-56.00,5357568.0,5360000.0,0,434176.0
56.00-57.00,7127040.0,7130000.0,0,434176.0
57.00-58.00,0.00,0.00,2,11386.88
58.00-59.00,0.00,0.00,1,11386.88
59.00-60.00,1728512.0,1730000.0,9,330956.8
60.00-61.00,7421952.0,7430000.0,0,422707.2
61.00-62.00,8314880.0,8320000.0,0,422707.2
62.00-63.00,8640266.24,8610000.0,0,434176.0
63.00-64.00,7741440.0,7750000.0,0,434176.0
64.00-65.00,5070848.0,5070000.0,1,11386.88
65.00-66.00,0.00,0.00,1,11386.88
66.00-67.00,0.00,0.00,1,11386.88
67.00-68.00,3530752.0,3530000.0,7,388300.8
68.00-69.00,5644288.0,5640000.0,0,411238.4
69.00-70.00,8314880.0,8320000.0,0,434176.0
70.00-71.00,10150215.68,10100000.0,0,434176.0
71.00-72.00,7725056.0,7720000.0,0,445644.8
72.00-73.00,0.00,0.00,2,11386.88
73.00-74.00,0.00,0.00,1,11386.88
74.00-75.00,2867200.0,2870000.0,8,411238.4
75.00-76.00,11576279.04,11600000.0,0,434176.0
76.00-77.00,11911823.36,11900000.0,0,445644.8
77.00-78.00,7725056.0,7720000.0,0,445644.8
