Interval,Transfer,Bitrate,Jitter,Lost/Total,Datagrams
0.00-1.00,1056768.0,1050000.0,1.275,091,(0%)
1.00-2.00,1040384.0,1040000.0,1.576,090,(0%)
2.00-3.00,1056768.0,1050000.0,1.729,091,(0%)
3.00-4.00,1040384.0,1040000.0,1.689,090,(0%)
4.00-5.00,1056768.0,1050000.0,0.782,091,(0%)
5.00-6.00,1040384.0,1040000.0,1.329,090,(0%)
6.00-7.00,1056768.0,1050000.0,1.315,091,(0%)
7.00-8.00,1040384.0,1040000.0,1.440,090,(0%)
8.00-9.00,1056768.0,1050000.0,0.632,091,(0%)
9.00-10.00,1040384.0,1040000.0,2.573,090,(0%)
10.00-11.00,1040384.0,1040000.0,1.844,090,(0%)
11.00-12.00,1056768.0,1050000.0,1.193,091,(0%)
12.00-13.00,1056768.0,1050000.0,1.783,091,(0%)
13.00-14.00,1040384.0,1040000.0,1.574,090,(0%)
14.00-15.00,1056768.0,1050000.0,2.399,091,(0%)
15.00-16.00,1015808.0,1020000.0,5.391,088,(0%)
16.00-17.00,1064960.0,1070000.0,6.174,092,(0%)
17.00-18.00,1056768.0,1050000.0,9.102,091,(0%)
18.00-19.00,1056768.0,1050000.0,1.927,091,(0%)
19.00-20.00,1040384.0,1040000.0,2.003,090,(0%)
20.00-21.00,1040384.0,1040000.0,4.870,090,(0%)
21.00-22.00,1056768.0,1050000.0,10.918,091,(0%)
22.00-23.00,1015808.0,1020000.0,5.991,088,(0%)
23.00-24.00,1056768.0,1050000.0,8.196,091,(0%)
24.00-25.00,1081344.0,1080000.0,1.613,093,(0%)
25.00-26.00,1032192.0,1030000.0,2.622,089,(0%)
26.00-27.00,1064960.0,1070000.0,2.931,092,(0%)
27.00-28.00,1040384.0,1040000.0,1.758,090,(0%)
28.00-29.00,1056768.0,1050000.0,6.084,091,(0%)
29.00-30.00,1040384.0,1040000.0,3.579,090,(0%)
30.00-31.00,1056768.0,1050000.0,6.363,091,(0%)
31.00-32.00,1040384.0,1040000.0,2.548,090,(0%)
