"Interval start","All","OLSR","ICMP"
0,4,4,0
1,0,0,0
2,14,4,2
3,5,1,2
4,7,3,2
5,5,1,2
6,7,3,2
7,5,1,2
8,7,3,2
9,4,0,2
10,8,4,2
11,4,0,2
12,8,4,2
13,4,0,2
14,8,4,2
15,4,0,2
16,8,4,2
17,4,0,2
18,8,4,2
19,4,0,2
20,8,4,2
21,5,1,2
22,7,3,2
23,4,0,2
24,8,4,2
25,4,0,2
26,8,4,2
27,4,0,2
28,8,4,2
29,4,0,2
30,8,4,2
31,6,2,2
32,6,2,2
33,4,0,2
34,8,4,2
35,4,0,2
36,8,4,2
37,4,0,2
38,8,4,2
39,4,0,2
40,8,4,2
41,5,1,2
42,7,3,2
43,4,0,2
44,8,4,2
45,4,0,2
46,8,4,2
47,5,1,2
48,7,3,2
49,4,0,2
50,8,4,2
51,4,0,2
52,8,4,2
53,4,0,2
54,8,4,2
55,4,0,2
56,8,4,2
57,4,0,2
58,8,4,2
59,4,0,2
60,8,4,2
61,5,1,2
62,7,3,2
63,6,0,6
64,11,4,7
65,7,0,7
66,11,4,7
67,6,0,6
68,22,4,5
69,12,0,5
70,12,4,4
71,8,0,4
72,12,4,4
73,8,0,4
74,12,4,4
75,9,1,4
76,12,4,4
77,8,0,4
78,12,4,4
79,8,0,4
80,12,4,4
81,8,0,4
82,12,4,4
83,9,1,4
84,3,3,0
85,1,1,0
86,3,3,0
87,0,0,0
88,3,3,0
89,0,0,0
90,4,4,0
91,0,0,0
92,3,3,0
93,0,0,0
94,3,3,0
95,21,3,4
96,14,3,6
97,10,0,5
98,13,3,5
99,10,0,5
100,14,4,5
101,10,0,5
102,13,3,5
103,10,0,5
104,13,3,5
105,13,3,5
106,13,3,5
107,8,0,6
108,12,2,8
109,10,0,8
110,14,3,9
111,10,0,8
112,6,2,2
113,3,0,1
114,3,2,0
115,3,3,0
116,2,2,0
117,0,0,0
118,2,2,0
119,0,0,0
120,2,2,0
121,0,0,0
122,2,2,0
123,0,0,0
124,2,2,0
125,1,1,0
126,2,2,0
127,0,0,0
128,2,2,0
129,0,0,0
130,2,2,0
131,0,0,0
132,2,2,0
133,0,0,0
134,2,2,0
135,1,1,0
136,2,2,0
137,0,0,0
138,2,2,0
139,0,0,0
140,2,2,0
141,0,0,0
142,2,2,0
143,0,0,0
144,2,2,0
145,1,1,0
146,2,2,0
147,0,0,0
148,2,2,0
149,0,0,0
150,2,2,0
151,0,0,0
152,2,2,0
153,0,0,0
154,1,1,0
155,0,0,0
156,1,1,0
157,0,0,0
158,1,1,0
159,0,0,0
160,1,1,0
161,0,0,0
162,1,1,0
163,0,0,0
164,1,1,0
165,0,0,0
166,1,1,0
167,0,0,0
168,1,1,0
